py,cy,py/cy
1.87608,0.09426,19.90268
1.85981,0.09511,19.55410
1.84823,0.09409,19.64259
1.85851,0.09524,19.51439
1.85733,0.09510,19.53057
1.86037,0.09473,19.63774
1.86639,0.09576,19.49071
1.85156,0.09506,19.47797
1.85787,0.09500,19.55598
1.85939,0.09513,19.54577
1.85526,0.09476,19.57779
1.85258,0.09407,19.69261
1.87148,0.09414,19.87988
1.84903,0.09550,19.36206
1.85409,0.09412,19.69841
1.86672,0.09411,19.83628
1.86286,0.09505,19.59952
1.85201,0.09407,19.68702
1.84528,0.09406,19.61716
1.85095,0.09421,19.64678
